run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
SEAS_w20_z05,0.50,0.033,Composite,9.5805e+09,0.33,0.0414,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0196,0.0218,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z15,0.50,0.033,Composite,9.5570e+09,0.33,0.0374,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0188,0.0186,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z25,0.50,0.033,Composite,9.5335e+09,0.33,0.0358,0.034,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.018,0.0178,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z35,0.50,0.033,Composite,9.5100e+09,0.33,0.0358,0.036,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0172,0.0186,2.2e9,0.48,0.77,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.51,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z45,0.50,0.033,Composite,9.4865e+09,0.33,0.0366,0.037,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0164,0.0202,2.2e9,0.48,0.74,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.54,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z55,0.50,0.033,Composite,9.4631e+09,0.33,0.0391,0.039,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0156,0.0235,2.2e9,0.48,0.72,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.58,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0443,0.040,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0148,0.0295,2.2e9,0.48,0.69,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.61,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0554,0.042,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.014,0.0414,2.2e9,0.48,0.67,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.64,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.0542,0.044,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0132,0.041,2.2e9,0.48,0.64,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0273,0.022,0.005,Z,0.67,Liquid,2200000000.0,440029.33528897085,No
SEAS_w20_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.1021,0.045,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0124,0.0897,2.2e9,0.48,0.61,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,Yes,0.0598,0.022,0.005,Z,0.70,Liquid,2200000000.0,440029.33528897085,No
SEAS_w12_z05,0.50,0.033,Composite,9.4824e+09,0.33,0.0533,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0196,0.0337,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
SEAS_w12_z15,0.50,0.033,Composite,9.4693e+09,0.33,0.0476,0.032,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0188,0.0288,2.2e9,0.48,0.82,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
SEAS_w12_z25,0.50,0.033,Composite,9.4561e+09,0.33,0.0455,0.034,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.018,0.0275,2.2e9,0.48,0.79,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.48,Liquid,2200000000.0,440029.33528897085,No
