run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor,n_slabs,slab_vof,bridge_fraction,n_bridges,slab_axis
BRKL_p080_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p080_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p080_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p080_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p080_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p080_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0220,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0120,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0680,0.0300,2,x
BRKL_p100_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p100_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p100_und_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p100_drn_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p100_drn_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p100_drn_s3,0.50,0.0240,Composite,9.37e9,0.33,0.0250,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0150,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+06,440029.33528897085,No,1,0.0850,0.0300,2,x
BRKL_p130_und_s1,0.50,0.0240,Composite,9.37e9,0.33,0.0295,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0195,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.1105,0.0300,2,x
BRKL_p130_und_s2,0.50,0.0240,Composite,9.37e9,0.33,0.0295,0.030,0.008,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.0100,0.0195,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0.0,0.025,0.006,Z,0.40,Liquid,2.2e+09,440029.33528897085,No,1,0.1105,0.0300,2,x
