run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
CHQ_L024_s01,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L024_s02,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L024_s03,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L024_s04,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L024_s05,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L024_s06,0.24,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0024,Simple Shear S13,0.0024,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s01,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s02,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s03,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s04,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s05,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L032_s06,0.32,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0032,Simple Shear S13,0.0032,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
CHQ_L040_s01,0.4,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.004,Simple Shear S13,0.004,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xy,Lesicar,Yes,0.15,0.025,0.006,Z,0.5,Liquid,2200000000.0,44295302.01342286
