run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
LBASE_z05_s1,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
LBASE_z05_s2,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
LBASE_z05_s3,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
LBASE_z05_s4,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
LBASE_z05_s5,0.50,0.033,Composite,4.694e9,0.33,0.042,0.030,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.020,0.022,2.2e9,0.48,0.85,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.42,Liquid,2200000000.0,440029.33528897085,No
LBASE_z15_s1,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
LBASE_z15_s2,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
LBASE_z15_s3,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
LBASE_z15_s4,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
LBASE_z15_s5,0.50,0.033,Composite,4.684e9,0.33,0.034,0.031,0.010,Uniaxial Tension X,0.005,Uniaxial Tension Z,0.005,0.015,0.019,2.2e9,0.48,0.84,0.10,0.002,200000,OFF,Gmsh,0,xz,Lesicar,No,0,0.022,0.005,Z,0.45,Liquid,2200000000.0,440029.33528897085,No
