run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion,full_tensor
SI2_L240_s1,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L240_s2,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L240_s3,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L240_s4,0.24,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L320_s1,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L320_s2,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L320_s3,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L320_s4,0.32,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L400_s1,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L400_s2,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L400_s3,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
SI2_L400_s4,0.40,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.011,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.012,0.078,2.2e9,0.48,0.65,0.10,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,Yes,0.052,0.022,0.005,Z,0.65,Liquid,2200000000.0,440029.33528897085,No
